#{"t_start": 1639959926.4372768, "env_id": null}
r,l,t
50.562622,1001,4406.481073
51.339986,1001,4418.87891
36.062633,660,4427.573653
34.088874,691,4436.556624
36.235195,854,4448.876669
40.934113,772,4458.26356
58.508202,1001,4470.221574
22.294542,417,4475.577247
45.995993,809,4485.620383
61.121028,1001,4497.662172
59.616401,1001,4511.738519
56.729924,1001,4523.72346
55.749703,1001,4535.700423
56.779146,1001,4547.994538
37.901515,745,4558.7378
8.642815,204,4561.56823
58.887409,1001,4573.706759
58.673739,1001,4585.893162
61.857047,1001,4597.892066
22.747598,500,4605.53562
61.250773,1001,4617.849681
30.329279,546,4624.650489
58.570381,1001,4636.603516
58.766616,1001,4648.846766
56.993332,1001,4662.613941
57.299635,1001,4674.893095
37.772216,681,4683.602798
54.565545,1001,4695.573776
15.899046,339,4700.00991
57.438713,1001,4713.513788
57.888367,1001,4725.504754
64.121104,1001,4737.527553
60.362928,1001,4750.084964
42.187538,754,4760.893053
53.492971,1001,4772.769285
17.02346,352,4777.354021
55.567864,1001,4789.816685
57.487917,1001,4801.886399
62.050603,1001,4816.033558
63.666612,1001,4828.147153
60.401683,1001,4840.323584
58.760273,1001,4852.404268
36.983701,681,4862.304785
58.44203,943,4873.760248
57.723077,1001,4886.090227
62.808151,1001,4898.002363
67.46546,1001,4909.934446
63.20363,1001,4923.250893
40.284432,721,4932.146093
65.576234,1001,4944.078116
58.375384,1001,4956.136859
67.122649,1001,4969.602874
33.444221,522,4976.088525
60.526962,1001,4988.214094
23.439069,440,4993.799116
63.43267,1001,5005.813976
39.666333,709,5017.008033
50.587612,805,5027.019292
62.210617,1001,5039.071017
59.344755,909,5049.952909
64.70085,1001,5061.925882
62.651236,1001,5075.39289
64.9085,1001,5087.603197
11.271685,245,5090.987148
58.977932,924,5102.102413
55.92717,1001,5114.082368
68.736092,1001,5127.528402
68.314302,1001,5139.77271
17.94095,348,5144.44817
35.38776,592,5151.830396
65.85475,1001,5164.082658
17.964431,326,5168.337268
69.951312,1001,5181.883007
34.962591,582,5189.0259
60.187119,948,5200.48425
52.526109,826,5210.802651
29.538071,490,5217.169619
66.681191,1001,5230.774228
66.243784,1001,5242.814022
62.671766,1001,5255.125091
63.337254,1001,5267.150959
64.765481,1001,5281.148483
8.437345,197,5284.00883
70.124968,1001,5295.99078
62.98709,1001,5307.961758
67.226075,1001,5319.935729
39.677926,652,5329.574972
66.12705,1001,5341.881027
64.952087,1001,5353.986646
64.023582,924,5365.326312
69.059265,1001,5378.990792
64.751271,1001,5390.915864
70.667527,1001,5403.314733
69.618597,1001,5415.540992
68.123418,1001,5429.046094
67.489022,1001,5441.2315
18.892041,321,5445.526012
70.966093,1001,5457.581824
64.988439,1001,5469.827009
68.006443,983,5483.216194
51.907161,787,5492.643975
71.102135,1001,5504.58304
68.532243,1001,5516.486201
67.147461,970,5529.969135
47.678688,696,5540.87197
29.394437,472,5547.918122
21.877216,407,5553.868207
69.032848,1001,5567.736111
21.573355,369,5573.480745
53.145651,836,5585.681109
73.306842,1001,5601.733172
69.026046,1001,5617.070148
67.080584,1001,5630.247934
22.377775,378,5635.2565
70.448411,1001,5648.514207
77.360593,1001,5662.25545
43.903908,657,5670.71183
67.473991,1001,5682.532211
59.470989,941,5693.762172
64.39617,933,5706.083214
70.776107,1001,5717.518625
70.742297,1001,5729.093663
69.240189,1001,5741.31198
73.471758,1001,5754.858743
65.61348,1001,5767.005254
50.037601,789,5776.547727
15.687574,295,5780.463254
70.617277,1001,5792.649656
21.072398,344,5797.373022
48.790483,739,5807.848002
69.942987,1001,5819.728224
72.83843,1001,5831.485773
30.179802,489,5837.47276
77.301614,1001,5849.602314
71.419979,1001,5863.3276
70.408959,1001,5875.582818
55.886426,760,5884.843047
79.849822,1001,5896.755185
80.019587,1001,5910.199222
47.784656,669,5918.222759
36.358756,547,5925.075428
71.723383,1001,5937.560034
72.148125,1001,5949.272704
73.683157,1001,5962.587089
69.060314,969,5974.57203
71.976756,1001,5987.113511
64.008263,779,5996.589136
20.102364,300,6000.661243
71.652283,1001,6014.172103
67.54564,1001,6026.062298
72.525959,1001,6038.120045
12.589742,245,6041.444153
25.451159,370,6046.131614
9.045119,201,6049.055792
76.944294,1001,6062.986529
75.649803,1001,6074.938558
77.462649,1001,6086.995307
21.405924,334,6091.324726
69.590117,1001,6103.516117
28.510044,470,6109.192931
41.644101,634,6118.501032
81.076465,1001,6130.946741
24.847446,401,6136.083002
33.431637,495,6142.299374
31.798751,483,6148.375123
81.560832,1001,6160.36505
79.42954,1001,6173.588677
75.220995,977,6185.355203
66.946266,857,6195.985768
71.777114,863,6206.203436
16.26077,263,6209.725016
72.018998,1001,6223.304692
57.911251,764,6232.739454
29.138017,428,6238.09114
31.809613,459,6244.074135
78.767109,1001,6256.11792
78.78953,1001,6270.036688
25.854022,402,6275.057259
76.219054,1001,6287.032226
75.938348,1001,6298.630203
87.958492,1001,6310.844531
80.923677,1001,6324.255657
81.06611,1001,6336.492923
72.433885,1001,6348.390099
74.75467,1001,6360.446849
76.478204,1001,6373.617618
37.89567,540,6380.28279
79.428752,1001,6392.63076
74.495949,1001,6404.515967
41.715448,585,6411.716706
83.217702,1001,6425.14379
15.21115,274,6428.62049
53.197338,662,6436.668961
38.509202,540,6443.323161
88.988182,1001,6455.237295
24.284034,371,6460.248887
81.173388,1001,6473.577234
49.351373,649,6481.484085
79.744447,1001,6493.316434
44.784107,565,6500.153146
82.555247,963,6511.894738
49.265579,651,6521.493064
31.090314,413,6526.981684
73.843284,892,6537.75686
79.955131,1001,6549.636084
51.461983,641,6557.401314
73.57861,936,6568.614321
84.803722,1001,6581.942667
81.019401,1001,6594.166969
65.813181,781,6603.783245
40.74746,525,6610.290838
78.62444,977,6623.450638
83.098655,1001,6635.430592
70.585122,868,6645.69015
80.543295,1001,6657.975286
77.865258,1001,6669.682032
82.298097,1001,6682.962448
66.276464,771,6692.502957
56.251893,645,6700.358914
79.695905,1001,6712.371781
84.88617,1001,6726.306507
83.307081,1001,6737.948365
64.772999,810,6747.710254
83.081342,1001,6760.001376
82.904313,1001,6771.921492
72.013738,843,6783.583296
90.325,1001,6796.071893
33.429004,446,6801.712802
47.51375,580,6809.040201
69.88704,809,6819.001586
84.637309,1001,6832.382763
83.817647,1001,6844.292939
79.544822,892,6855.499926
62.692619,726,6864.346263
87.571264,1001,6876.268432
88.001117,1001,6889.593728
86.2747,1001,6901.518054
90.369607,1001,6913.592756
89.814727,1001,6926.031495
90.367327,1001,6939.458566
53.0547,667,6947.522994
91.404412,1001,6959.465051
47.6245,543,6966.107283
89.130634,1001,6978.082251
87.659725,1001,6992.076817
84.575291,949,7003.314756
88.808642,964,7014.830951
18.56337,258,7018.156085
84.148466,1001,7031.558252
87.482218,1001,7043.513228
87.113976,1001,7055.826293
56.073377,653,7063.937597
49.439931,595,7071.153294
85.898891,1001,7084.538489
39.50071,471,7090.448681
85.493831,954,7101.947921
88.68611,1001,7114.223086
84.910338,1001,7126.40151
88.683336,1001,7139.820615
74.042139,859,7150.167937
90.290092,1001,7162.002311
79.344018,887,7172.59395
52.026098,646,7180.659375
31.712373,401,7187.427274
84.50567,1001,7199.416202
91.897589,1001,7211.175746
77.854577,879,7221.465223
89.73334,1001,7234.80853
41.008296,492,7240.903228
88.37225,957,7252.698676
